id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
261,Antonymyre,,WA,Western Australia,6714,Rural locality,-20.66316,117.09337,8,0,0,25.77400,Karratha (City),Western Australia - Outback (North),Australia/Perth
262,Antwerp,,VIC,Victoria,3414,Rural locality,-36.29842,142.02456,100,63,20124,132.78800,Hindmarsh (Shire),North West,Australia/Melbourne
263,Anula,Darwin,NT,Northern Territory,0812,Suburb,-12.39191,130.89015,37,2369,53144,1.31800,Darwin (City),Darwin,Australia/Darwin
264,Apamurra,,SA,South Australia,5237,Rural locality,-34.85524,139.19677,159,8,22100,3.74200,Mid Murray (District Council),South Australia - South East,Australia/Adelaide
265,Apoinga,,SA,South Australia,5413,Rural locality,-33.92808,138.93758,468,32,31824,51.62500,Goyder (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
266,Apollo Bay,,TAS,Tasmania,7150,Rural locality,-43.15912,147.29609,29,23,39416,2.29500,Kingborough (Municipality),South East,Australia/Hobart
267,Apollo Bay,,VIC,Victoria,3233,Urban locality,-38.74843,143.67043,1,1598,29432,86.91500,Colac-Otway (Shire),Warrnambool and South West,Australia/Melbourne
268,Appila,,SA,South Australia,5480,Rural locality,-33.05054,138.42808,371,83,23400,120.15500,Mount Remarkable (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
269,Appin,,NSW,New South Wales,2560,Urban locality,-34.20089,150.78748,242,2633,42744,102.05500,Wollondilly (Area),Sydney - Outer South West,Australia/Sydney
270,Appin,,VIC,Victoria,3579,Rural locality,-35.88565,143.87805,82,11,22100,37.80800,Gannawarra (Shire),North West,Australia/Melbourne
271,Appin South,,VIC,Victoria,3579,Rural locality,-35.94096,143.85991,86,29,19448,51.53300,Loddon (Shire),Bendigo,Australia/Melbourne
